腿	足	ㄊㄨㄟˇ / tuǐ
俱	共に	ㄐㄩˋ / jù
甜	甘い	ㄊㄧㄢˊ / tián
猶	なお	ㄧㄡˊ / yóu
膠	膠	ㄐㄧㄠ / jiāo
闊	広い	ㄎㄨㄛˋ / kuò
姨	叔母	ㄧˊ / yí
衰	衰える	ㄕㄨㄞ / shuāi
腔	腔	ㄑㄧㄤ / qiāng
壇	壇	ㄊㄢˊ / tán
藉	借りる	ㄐㄧㄝˋ / jiè
騎	乗る	ㄑㄧˊ / qí
盒	箱	ㄏㄜˊ / hé
戒	戒める	ㄐㄧㄝˋ / jiè
券	券	ㄑㄩㄢˋ / quàn
采	采る	ㄘㄞˇ / cǎi
紐	紐	ㄋㄧㄡˇ / niǔ
殿	殿	ㄉㄧㄢˋ / diàn
遙	遥か	ㄧㄠˊ / yáo
攀	攀じる	ㄆㄢ / pān
川	川	ㄔㄨㄢ / chuān
奉	奉る	ㄈㄥˋ / fèng
姊	姉	ㄗˇ / zǐ
捐	寄付する	ㄐㄩㄢ / juān
耀	耀く	ㄧㄠˋ / yào
捕	捕らえる	ㄅㄨˇ / bǔ
循	循う	ㄒㄩㄣˊ / xún
菌	菌	ㄐㄩㄣˋ / jùn
碰	ぶつかる	ㄆㄥˋ / pèng
輩	輩	ㄅㄟˋ / bèi
昌	盛ん	ㄔㄤ / chāng
宴	宴会	ㄧㄢˋ / yàn
捷	速い	ㄐㄧㄝˊ / jié
跨	またぐ	ㄎㄨㄚˋ / kuà
槍	銃	ㄑㄧㄤ / qiāng
贈	贈る	ㄗㄥˋ / zèng
譯	訳する	ㄧˋ / yì
串	串	ㄔㄨㄢˋ / chuàn
拖	引きずる	ㄊㄨㄛ / tuō
俄	俄かに	ㄜˊ / é
桂	桂	ㄍㄨㄟˋ / guì
帳	帳	ㄓㄤˋ / zhàng
碎	砕く	ㄙㄨㄟˋ / suì
詳	詳しい	ㄒㄧㄤˊ / xiáng
瘦	痩せる	ㄕㄡˋ / shòu
澤	沢	ㄗㄜˊ / zé
泳	泳ぐ	ㄩㄥˇ / yǒng
租	借りる	ㄗㄨ / zū
輛	車両の量詞	ㄌㄧㄤˋ / liàng
獵	狩る	ㄌㄧㄝˋ / liè
籠	籠	ㄌㄨㄥˊ / lóng
屈	屈する	ㄑㄩ / qū
恢	回復する	ㄏㄨㄟ / huī
飽	満腹	ㄅㄠˇ / bǎo
褲	ズボン	ㄎㄨˋ / kù
叢	草むら	ㄘㄨㄥˊ / cóng
騰	騰がる	ㄊㄥˊ / téng
爛	腐る	ㄌㄢˋ / làn
囊	袋	ㄋㄤˊ / náng
吾	我	ㄨˊ / wú
躲	隠れる	ㄉㄨㄛˇ / duǒ
嘉	嘉い	ㄐㄧㄚ / jiā
徹	徹する	ㄔㄜˋ / chè
挖	掘る	ㄨㄚ / wā
鍵	鍵	ㄐㄧㄢˋ / jiàn
銅	銅	ㄊㄨㄥˊ / tóng
棉	綿	ㄇㄧㄢˊ / mián
溼	湿る	ㄕ / shī
暢	伸び伸びとした	ㄔㄤˋ / chàng
嚇	驚かす	ㄒㄧㄚˋ / xià
鴻	大きな雁	ㄏㄨㄥˊ / hóng
伏	伏す	ㄈㄨˊ / fú
呆	ぼんやりする	ㄉㄞ / dāi
宏	広い	ㄏㄨㄥˊ / hóng
堡	砦	ㄅㄠˇ / bǎo
腰	腰	ㄧㄠ / yāo
腸	腸	ㄔㄤˊ / cháng
稻	稲	ㄉㄠˋ / dào
丟	投げる	ㄉㄧㄡ / diū
奈	いかんせん	ㄋㄞˋ / nài
舍	舎	ㄕㄜˋ / shè
柯	枝	ㄎㄜ / kē
癌	癌	ㄞˊ / ái
籌	籌める	ㄔㄡˊ / chóu
妞	女の子	ㄋㄧㄡ / niū
秦	秦	ㄑㄧㄣˊ / qín
悉	悉く	ㄒㄧ / xī
愁	憂う	ㄔㄡˊ / chóu
黎	黎明	ㄌㄧˊ / lí
邀	招く	ㄧㄠ / yāo
扮	扮する	ㄅㄢˋ / bàn
拾	拾う	ㄕˊ / shí
割	割る	ㄍㄜ / gē
后	后	ㄏㄡˋ / hòu
廚	厨房	ㄔㄨˊ / chú
薪	給料	ㄒㄧㄣ / xīn
蹤	跡	ㄗㄨㄥ / zōng
獸	獣	ㄕㄡˋ / shòu
疼	痛い	ㄊㄥˊ / téng
廂	部屋	ㄒㄧㄤ / xiāng
援	援ける	ㄩㄢˊ / yuán
脹	膨張する	ㄓㄤˋ / zhàng
氧	酸素	ㄧㄤˇ / yǎng
捨	捨てる	ㄕㄜˇ / shě
腹	腹	ㄈㄨˋ / fù
碧	碧い	ㄅㄧˋ / bì
鳳	鳳	ㄈㄥˋ / fèng
罷	止める	ㄅㄚˋ / bà
蟻	蟻	ㄧˇ / yǐ
猛	猛烈な	ㄇㄥˇ / měng
帽	帽子	ㄇㄠˋ / mào
嘗	嘗める	ㄔㄤˊ / cháng
夾	挟む	ㄐㄧㄚ / jiā
迅	迅い	ㄒㄩㄣˋ / xùn
侵	侵す	ㄑㄧㄣ / qīn
迪	導く	ㄉㄧˊ / dí
葡	ブドウ	ㄆㄨˊ / pú
厲	厳しい	ㄌㄧˋ / lì
災	災い	ㄗㄞ / zāi
軌	軌道	ㄍㄨㄟˇ / guǐ
埋	埋める	ㄇㄞˊ / mái
雀	雀	ㄑㄩㄝˋ / què
鋪	敷く	ㄆㄨ / pū
燃	燃える	ㄖㄢˊ / rán
兼	兼ねる	ㄐㄧㄢ / jiān
猜	推測する	ㄘㄞ / cāi
貫	貫く	ㄍㄨㄢˋ / guàn
督	督する	ㄉㄨ / dū
裕	裕か	ㄩˋ / yù
撒	撒く	ㄙㄚ / sā
燕	燕	ㄧㄢˋ / yàn
頸	首	ㄐㄧㄥˇ / jǐng
瞭	瞭か	ㄌㄧㄠˇ / liǎo
虧	損なう	ㄎㄨㄟ / kuī
蹈	踏む	ㄉㄠˋ / dào
薩	薩	ㄙㄚˋ / sà
疊	畳む	ㄉㄧㄝˊ / dié
柏	柏	ㄅㄛˊ / bó
賀	賀する	ㄏㄜˋ / hè
碑	碑	ㄅㄟ / bēi
敲	叩く	ㄑㄧㄠ / qiāo
韻	韻	ㄩㄣˋ / yùn
墓	墓	ㄇㄨˋ / mù
謀	謀る	ㄇㄡˊ / móu
賺	稼ぐ	ㄓㄨㄢˋ / zhuàn
臘	臘	ㄌㄚˋ / là
籃	籠	ㄌㄢˊ / lán
柱	柱	ㄓㄨˋ / zhù
疏	疎か	ㄕㄨ / shū
剩	余る	ㄕㄥˋ / shèng
筋	筋	ㄐㄧㄣ / jīn
縫	縫う	ㄈㄥˊ / féng
吵	喧しい	ㄔㄠˇ / chǎo
耕	耕す	ㄍㄥ / gēng
盟	盟	ㄇㄥˊ / méng
廟	廟	ㄇㄧㄠˋ / miào
擬	擬する	ㄋㄧˇ / nǐ
懼	恐れる	ㄐㄩˋ / jù
秘	秘める	ㄇㄧˋ / mì
漁	漁	ㄩˊ / yú
賢	賢い	ㄒㄧㄢˊ / xián
撿	拾う	ㄐㄧㄢˇ / jiǎn
羽	羽	ㄩˇ / yǔ
氛	雰囲気	ㄈㄣ / fēn
勃	勃然と	ㄅㄛˊ / bó
炸	揚げる	ㄓㄚˋ / zhà
涯	涯	ㄧㄚˊ / yá
棵	木の量詞	ㄎㄜ / kē
塗	塗る	ㄊㄨˊ / tú
膀	腕	ㄅㄤˇ / bǎng
慰	慰める	ㄨㄟˋ / wèi
簽	署名する	ㄑㄧㄢ / qiān
宅	宅	ㄓㄞˊ / zhái
牧	牧する	ㄇㄨˋ / mù
添	添える	ㄊㄧㄢ / tiān
稍	やや	ㄕㄠ / shāo
廉	廉	ㄌㄧㄢˊ / lián
獅	獅子	ㄕ / shī
漠	漠たる	ㄇㄛˋ / mò
併	併せる	ㄅㄧㄥˋ / bìng
萄	ブドウ	ㄊㄠˊ / táo
罵	罵る	ㄇㄚˋ / mà
朱	朱	ㄓㄨ / zhū
掘	掘る	ㄐㄩㄝˊ / jué
盜	盗む	ㄉㄠˋ / dào
催	促す	ㄘㄨㄟ / cuī
乃	乃ち	ㄋㄞˇ / nǎi
扣	控除する	ㄎㄡˋ / kòu
劫	劫る	ㄐㄧㄝˊ / jié
址	址	ㄓˇ / zhǐ
肅	粛	ㄙㄨˋ / sù
禍	禍	ㄏㄨㄛˋ / huò
翠	翠	ㄘㄨㄟˋ / cuì
錦	錦	ㄐㄧㄣˇ / jǐn
趨	赴く	ㄑㄩ / qū
贊	賛成する	ㄗㄢˋ / zàn
礦	鉱	ㄎㄨㄤˋ / kuàng
灑	撒く	ㄙㄚˇ / sǎ
艾	よもぎ	ㄞˋ / ài
扶	扶ける	ㄈㄨˊ / fú
沖	沖	ㄔㄨㄥ / chōng
昂	昂る	ㄤˊ / áng
粒	粒	ㄌㄧˋ / lì
琳	琳	ㄌㄧㄣˊ / lín
詢	詢ねる	ㄒㄩㄣˊ / xún
厭	厭う	ㄧㄢˋ / yàn
夥	仲間	ㄏㄨㄛˇ / huǒ
罰	罰する	ㄈㄚˊ / fá
佈	佈く	ㄅㄨˋ / bù
陪	伴う	ㄆㄟˊ / péi
廊	廊下	ㄌㄤˊ / láng
蛙	蛙	ㄨㄚ / wā
邁	邁む	ㄇㄞˋ / mài
契	契	ㄑㄧˋ / qì
疫	疫	ㄧˋ / yì
盆	盆	ㄆㄣˊ / pén
崇	崇める	ㄔㄨㄥˊ / chóng
惑	惑う	ㄏㄨㄛˋ / huò
溜	滑る	ㄌㄧㄡ / liū
臂	腕	ㄅㄧˋ / bì
孟	孟	ㄇㄥˋ / mèng
愉	愉しい	ㄩˊ / yú
違	違う	ㄨㄟˊ / wéi
凝	凝る	ㄋㄧㄥˊ / níng
盈	満ちる	ㄧㄥˊ / yíng
胃	胃	ㄨㄟˋ / wèi
趙	趙	ㄓㄠˋ / zhào
閣	閣	ㄍㄜˊ / gé
鴨	鴨	ㄧㄚ / yā
寸	寸	ㄘㄨㄣˋ / cùn
枯	枯れる	ㄎㄨ / kū
炮	大砲	ㄆㄠˋ / pào
陌	陌	ㄇㄛˋ / mò
疲	疲れる	ㄆㄧˊ / pí
慘	惨めな	ㄘㄢˇ / cǎn
孝	孝	ㄒㄧㄠˋ / xiào
紋	紋	ㄨㄣˊ / wén
耗	費やす	ㄏㄠˋ / hào
跌	転ぶ	ㄉㄧㄝ / diē
傲	傲る	ㄠˋ / ào
鈴	鈴	ㄌㄧㄥˊ / líng
鳴	鳴く	ㄇㄧㄥˊ / míng
憐	憐れむ	ㄌㄧㄢˊ / lián
憲	憲	ㄒㄧㄢˋ / xiàn
刑	刑	ㄒㄧㄥˊ / xíng
卷	巻く	ㄐㄩㄢˇ / juǎn
凍	凍る	ㄉㄨㄥˋ / dòng
淋	濡れる	ㄌㄧㄣˊ / lín
販	販ぐ	ㄈㄢˋ / fàn
膜	膜	ㄇㄛˊ / mó
憑	憑る	ㄆㄧㄥˊ / píng
櫻	桜	ㄧㄥ / yīng
脂	脂	ㄓ / zhī
慎	慎む	ㄕㄣˋ / shèn
榜	榜	ㄅㄤˇ / bǎng
赫	赫	ㄏㄜˋ / hè
辯	弁じる	ㄅㄧㄢˋ / biàn
襲	襲う	ㄒㄧˊ / xí
炒	炒める	ㄔㄠˇ / chǎo
桿	棒	ㄍㄢˇ / gǎn
截	断つ	ㄐㄧㄝˊ / jié
綿	綿	ㄇㄧㄢˊ / mián
寵	寵愛する	ㄔㄨㄥˇ / chǒng
鑽	鑽る	ㄗㄨㄢ / zuān
廷	廷	ㄊㄧㄥˊ / tíng
寓	寓する	ㄩˋ / yù
湧	湧く	ㄩㄥˇ / yǒng
逼	迫る	ㄅㄧ / bī
慕	慕う	ㄇㄨˋ / mù
劑	剤	ㄐㄧˋ / jì
嶺	嶺	ㄌㄧㄥˇ / lǐng
顆	粒の量詞	ㄎㄜ / kē
冊	冊	ㄘㄜˋ / cè
汁	汁	ㄓ / zhī
寺	寺	ㄙˋ / sì
吟	吟じる	ㄧㄣˊ / yín
晒	干す	ㄕㄞˋ / shài
涉	渉る	ㄕㄜˋ / shè
袖	袖	ㄒㄧㄡˋ / xiù
鹿	鹿	ㄌㄨˋ / lù
絡	絡む	ㄌㄨㄛˋ / luò
頒	頒布する	ㄅㄢ / bān
蜜	蜜	ㄇㄧˋ / mì
氏	氏	ㄕˋ / shì
貢	貢ぐ	ㄍㄨㄥˋ / gòng
釘	釘	ㄉㄧㄥ / dīng
逢	逢う	ㄈㄥˊ / féng
馳	馳せる	ㄔˊ / chí
寞	寞	ㄇㄛˋ / mò
膨	膨らむ	ㄆㄥˊ / péng
悶	息苦しい	ㄇㄣˋ / mèn
憤	憤る	ㄈㄣˋ / fèn
撲	撲つ	ㄆㄨ / pū
艱	艱難	ㄐㄧㄢ / jiān
殼	殻	ㄎㄜˊ / ké
毀	毀す	ㄏㄨㄟˇ / huǐ
綜	総合	ㄗㄨㄥˋ / zòng
余	余	ㄩˊ / yú
茫	茫然	ㄇㄤˊ / máng
煞	煞	ㄕㄚˋ / shà
瘋	狂う	ㄈㄥ / fēng
繩	縄	ㄕㄥˊ / shéng
抑	抑える	ㄧˋ / yì
邦	邦	ㄅㄤ / bāng
莖	茎	ㄐㄧㄥ / jīng
猴	猿	ㄏㄡˊ / hóu
勉	勉める	ㄇㄧㄢˇ / miǎn
姻	姻	ㄧㄣ / yīn
皆	皆	ㄐㄧㄝ / jiē
挺	とても	ㄊㄧㄥˇ / tǐng
渴	渇く	ㄎㄜˇ / kě
獄	獄	ㄩˋ / yù
蟹	蟹	ㄒㄧㄝˋ / xiè
鑑	鑑みる	ㄐㄧㄢˋ / jiàn
吞	呑む	ㄊㄨㄣ / tūn
牢	牢	ㄌㄠˊ / láo
拼	綴る	ㄆㄧㄣ / pīn
翁	翁	ㄨㄥ / wēng
艇	艇	ㄊㄧㄥˇ / tǐng
撐	支える	ㄔㄥ / chēng
舌	舌	ㄕㄜˊ / shé
佩	帯びる	ㄆㄟˋ / pèi
斑	斑	ㄅㄢ / bān
漏	漏れる	ㄌㄡˋ / lòu
遞	遞る	ㄉㄧˋ / dì
鄧	鄧	ㄉㄥˋ / dèng
鍋	鍋	ㄍㄨㄛ / guō
馨	馨しい	ㄒㄧㄣ / xīn
巷	巷	ㄒㄧㄤˋ / xiàng
淑	淑やか	ㄕㄨ / shū
袍	袍	ㄆㄠˊ / páo
餅	餅	ㄅㄧㄥˇ / bǐng
鋒	鋒	ㄈㄥ / fēng
樸	素朴な	ㄆㄨˊ / pú
蹟	跡	ㄐㄧ / jī
攤	屋台	ㄊㄢ / tān
鷹	鷹	ㄧㄥ / yīng
拓	拓く	ㄊㄨㄛˋ / tuò
慌	慌てる	ㄏㄨㄤ / huāng
儲	儲える	ㄔㄨˊ / chú
盪	揺れる	ㄉㄤˋ / dàng
孕	孕む	ㄩㄣˋ / yùn
郊	郊外	ㄐㄧㄠ / jiāo
浴	浴びる	ㄩˋ / yù
喻	喩える	ㄩˋ / yù
搜	捜す	ㄙㄡ / sōu
矮	低い	ㄞˇ / ǎi
漆	漆	ㄑㄧ / qī
蓄	蓄える	ㄒㄩˋ / xù
誘	誘う	ㄧㄡˋ / yòu
撫	撫でる	ㄈㄨˇ / fǔ
躺	横たわる	ㄊㄤˇ / tǎng
曆	暦	ㄌㄧˋ / lì
錶	時計	ㄅㄧㄠˇ / biǎo
纏	纏う	ㄔㄢˊ / chán
玫	玫	ㄇㄟˊ / méi
肢	肢	ㄓ / zhī
芽	芽	ㄧㄚˊ / yá
蒂	蒂	ㄉㄧˋ / dì
餓	飢える	ㄜˋ / è
芳	芳しい	ㄈㄤ / fāng
柳	柳	ㄌㄧㄡˇ / liǔ
倍	倍	ㄅㄟˋ / bèi
逝	逝く	ㄕˋ / shì
蜂	蜂	ㄈㄥ / fēng
箭	矢	ㄐㄧㄢˋ / jiàn
緻	緻密な	ㄓˋ / zhì
噪	騒がしい	ㄗㄠˋ / zào
黏	粘る	ㄋㄧㄢˊ / nián
灌	灌ぐ	ㄍㄨㄢˋ / guàn
坑	坑	ㄎㄥ / kēng
翅	羽	ㄔˋ / chì
豈	あに	ㄑㄧˇ / qǐ
堪	堪える	ㄎㄢ / kān
敦	敦	ㄉㄨㄣ / dūn
渾	渾	ㄏㄨㄣˊ / hún
筒	筒	ㄊㄨㄥˇ / tǒng
罩	覆う	ㄓㄠˋ / zhào
蒸	蒸す	ㄓㄥ / zhēng
頗	頗る	ㄆㄛˇ / pǒ
潑	潑ぐ	ㄆㄛ / pō
駐	駐在する	ㄓㄨˋ / zhù
辨	弁じる	ㄅㄧㄢˋ / biàn
妨	妨げる	ㄈㄤˊ / fáng
霍	霍	ㄏㄨㄛˋ / huò
勸	勧める	ㄑㄩㄢˋ / quàn
贏	勝つ	ㄧㄥˊ / yíng
霸	覇	ㄅㄚˋ / bà
斤	斤	ㄐㄧㄣ / jīn
汪	汪	ㄨㄤ / wāng
妮	妮	ㄋㄧ / nī
恆	恒	ㄏㄥˊ / héng
准	准じる	ㄓㄨㄣˇ / zhǔn
敘	叙する	ㄒㄩˋ / xù
釣	釣る	ㄉㄧㄠˋ / diào
鵝	鵞鳥	ㄜˊ / é
洪	洪	ㄏㄨㄥˊ / hóng
俯	俯く	ㄈㄨˇ / fǔ
掩	掩う	ㄧㄢˇ / yǎn
菸	煙草	ㄧㄢ / yān
菲	菲	ㄈㄟ / fēi
菊	菊	ㄐㄩˊ / jú
窩	巣	ㄨㄛ / wō
穀	穀物	ㄍㄨˇ / gǔ
卑	卑しい	ㄅㄟ / bēi
肺	肺	ㄈㄟˋ / fèi
糕	ケーキ	ㄍㄠ / gāo
斗	斗	ㄉㄡˇ / dǒu
侍	侍る	ㄕˋ / shì
旺	盛んな	ㄨㄤˋ / wàng
臥	臥す	ㄨㄛˋ / wò
柴	柴	ㄔㄞˊ / chái
陵	陵	ㄌㄧㄥˊ / líng
慾	欲望	ㄩˋ / yù
毅	毅	ㄧˋ / yì
蝴	蝶	ㄏㄨˊ / hú
磚	煉瓦	ㄓㄨㄢ / zhuān
罕	希な	ㄏㄢˇ / hǎn
兔	兎	ㄊㄨˋ / tù
姆	姆	ㄇㄨˇ / mǔ
傘	傘	ㄙㄢˇ / sǎn
晴	晴れる	ㄑㄧㄥˊ / qíng
酬	報いる	ㄔㄡˊ / chóu
摘	摘む	ㄓㄞ / zhāi
譽	誉れ	ㄩˋ / yù
扎	刺す	ㄓㄚ / zhā
欠	欠く	ㄑㄧㄢˋ / qiàn
叮	刺す	ㄉㄧㄥ / dīng
吊	吊るす	ㄉㄧㄠˋ / diào
