絲	糸	ㄙ / sī
糖	糖	ㄊㄤˊ / táng
甘	甘い	ㄍㄢ / gān
逃	逃げる	ㄊㄠˊ / táo
輝	輝く	ㄏㄨㄟ / huī
勵	励む	ㄌㄧˋ / lì
估	見積もる	ㄍㄨ / gū
儘	儘	ㄐㄧㄣˇ / jǐn
您	あなた（敬称）	ㄋㄧㄣˊ / nín
涼	涼しい	ㄌㄧㄤˊ / liáng
虛	虚	ㄒㄩ / xū
丈	丈	ㄓㄤˋ / zhàng
怨	怨む	ㄩㄢˋ / yuàn
網	網	ㄨㄤˇ / wǎng
昏	昏い	ㄏㄨㄣ / hūn
松	松	ㄙㄨㄥ / sōng
泰	泰	ㄊㄞˋ / tài
鬥	闘う	ㄉㄡˋ / dòu
莫	莫い	ㄇㄛˋ / mò
聚	集まる	ㄐㄩˋ / jù
擺	並べる	ㄅㄞˇ / bǎi
零	零	ㄌㄧㄥˊ / líng
弱	弱い	ㄖㄨㄛˋ / ruò
覆	覆う	ㄈㄨˋ / fù
獻	献じる	ㄒㄧㄢˋ / xiàn
遭	遭う	ㄗㄠ / zāo
諾	諾する	ㄋㄨㄛˋ / nuò
刀	刀	ㄉㄠ / dāo
仰	仰ぐ	ㄧㄤˇ / yǎng
姑	姑	ㄍㄨ / gū
昨	昨	ㄗㄨㄛˊ / zuó
累	疲れる	ㄌㄟˋ / lèi
晶	晶	ㄐㄧㄥ / jīng
啦	〜だね	ㄌㄚ / la
魯	魯	ㄌㄨˇ / lǔ
汙	汚れる	ㄨ / wū
扭	捻る	ㄋㄧㄡˇ / niǔ
促	促す	ㄘㄨˋ / cù
偉	偉大	ㄨㄟˇ / wěi
陶	陶	ㄊㄠˊ / táo
惱	悩む	ㄋㄠˇ / nǎo
椅	椅子	ㄧˇ / yǐ
監	監する	ㄐㄧㄢ / jiān
狂	狂う	ㄎㄨㄤˊ / kuáng
滑	滑らか	ㄏㄨㄚˊ / huá
既	既に	ㄐㄧˋ / jì
堆	積む	ㄉㄨㄟ / duī
滅	滅びる	ㄇㄧㄝˋ / miè
尖	尖る	ㄐㄧㄢ / jiān
裂	裂ける	ㄌㄧㄝˋ / liè
摸	摸する	ㄇㄛ / mō
旗	旗	ㄑㄧˊ / qí
烏	カラス	ㄨ / wū
損	損なう	ㄙㄨㄣˇ / sǔn
緩	緩い	ㄏㄨㄢˇ / huǎn
彼	彼	ㄅㄧˇ / bǐ
泉	泉	ㄑㄩㄢˊ / quán
浮	浮く	ㄈㄨˊ / fú
瓶	瓶	ㄆㄧㄥˊ / píng
閉	閉じる	ㄅㄧˋ / bì
塵	塵	ㄔㄣˊ / chén
貌	貌	ㄇㄠˋ / mào
繪	絵	ㄏㄨㄟˋ / huì
末	末	ㄇㄛˋ / mò
喊	叫ぶ	ㄏㄢˇ / hǎn
迴	廻る	ㄏㄨㄟˊ / huí
紹	紹する	ㄕㄠˋ / shào
慈	慈しむ	ㄘˊ / cí
洛	洛	ㄌㄨㄛˋ / luò
粉	粉	ㄈㄣˇ / fěn
傾	傾く	ㄑㄧㄥ / qīng
貓	猫	ㄇㄠ / māo
齡	齢	ㄌㄧㄥˊ / líng
殊	殊に	ㄕㄨ / shū
揭	掲げる	ㄐㄧㄝ / jiē
罪	罪	ㄗㄨㄟˋ / zuì
鄭	鄭	ㄓㄥˋ / zhèng
兄	兄	ㄒㄩㄥ / xiōng
弄	弄ぶ	ㄋㄨㄥˋ / nòng
診	診る	ㄓㄣˇ / zhěn
肌	肌	ㄐㄧ / jī
谷	谷	ㄍㄨˇ / gǔ
圈	圏	ㄑㄩㄢ / quān
莊	荘	ㄓㄨㄤ / zhuāng
貪	貪る	ㄊㄢ / tān
滾	転がる	ㄍㄨㄣˇ / gǔn
膚	皮膚	ㄈㄨ / fū
衡	衡する	ㄏㄥˊ / héng
阻	阻む	ㄗㄨˇ / zǔ
暖	暖かい	ㄋㄨㄢˇ / nuǎn
幻	幻	ㄏㄨㄢˋ / huàn
吹	吹く	ㄔㄨㄟ / chuī
恩	恩	ㄣ / ēn
齒	歯	ㄔˇ / chǐ
乳	乳	ㄖㄨˇ / rǔ
拔	抜く	ㄅㄚˊ / bá
爆	爆発する	ㄅㄠˋ / bào
豪	豪	ㄏㄠˊ / háo
賴	頼る	ㄌㄞˋ / lài
瓦	瓦	ㄨㄚˇ / wǎ
虎	虎	ㄏㄨˇ / hǔ
署	署する	ㄕㄨˋ / shù
亦	亦	ㄧˋ / yì
胸	胸	ㄒㄩㄥ / xiōng
裁	裁く	ㄘㄞˊ / cái
搭	搭乗する	ㄉㄚ / dā
瑞	瑞	ㄖㄨㄟˋ / ruì
儀	儀	ㄧˊ / yí
奔	奔る	ㄅㄣ / bēn
琴	琴	ㄑㄧㄣˊ / qín
仁	仁	ㄖㄣˊ / rén
彎	曲がる	ㄨㄢ / wān
枝	枝	ㄓ / zhī
符	符	ㄈㄨˊ / fú
聰	聡い	ㄘㄨㄥ / cōng
奏	奏でる	ㄗㄡˋ / zòu
窮	窮する	ㄑㄩㄥˊ / qióng
哀	哀しい	ㄞ / āi
漂	漂う	ㄆㄧㄠ / piāo
撞	ぶつかる	ㄓㄨㄤˋ / zhuàng
鄰	隣	ㄌㄧㄣˊ / lín
迫	迫る	ㄆㄛˋ / pò
徑	径	ㄐㄧㄥˋ / jìng
潛	潜む	ㄑㄧㄢˊ / qián
臟	臓	ㄗㄤˋ / zàng
汗	汗	ㄏㄢˋ / hàn
毫	毫	ㄏㄠˊ / háo
凱	凱	ㄎㄞˇ / kǎi
酸	酸っぱい	ㄙㄨㄢ / suān
托	托す	ㄊㄨㄛ / tuō
攻	攻める	ㄍㄨㄥ / gōng
冒	冒す	ㄇㄠˋ / mào
懸	懸ける	ㄒㄩㄢˊ / xuán
耐	耐える	ㄋㄞˋ / nài
賓	賓	ㄅㄧㄣ / bīn
吳	呉	ㄨˊ / wú
荒	荒れる	ㄏㄨㄤ / huāng
匯	匯す	ㄏㄨㄟˋ / huì
戀	恋う	ㄌㄧㄢˋ / liàn
梅	梅	ㄇㄟˊ / méi
壽	寿	ㄕㄡˋ / shòu
豬	豚	ㄓㄨ / zhū
腐	腐る	ㄈㄨˇ / fǔ
澳	澳	ㄠˋ / ào
占	占める	ㄓㄢˋ / zhàn
蒙	蒙る	ㄇㄥˊ / méng
濃	濃い	ㄋㄨㄥˊ / nóng
混	混ざる	ㄏㄨㄣˋ / hùn
搶	奪う	ㄑㄧㄤˇ / qiǎng
縱	縦	ㄗㄨㄥˋ / zòng
惠	恵み	ㄏㄨㄟˋ / huì
肝	肝	ㄍㄢ / gān
郵	郵	ㄧㄡˊ / yóu
抓	掴む	ㄓㄨㄚ / zhuā
岩	岩	ㄧㄢˊ / yán
忠	忠	ㄓㄨㄥ / zhōng
返	返す	ㄈㄢˇ / fǎn
敵	敵	ㄉㄧˊ / dí
緒	緒	ㄒㄩˋ / xù
噴	噴く	ㄆㄣ / pēn
頻	頻繁に	ㄆㄧㄣˊ / pín
干	干す	ㄍㄢ / gān
描	描く	ㄇㄧㄠˊ / miáo
番	番	ㄈㄢ / fān
潤	潤う	ㄖㄨㄣˋ / rùn
繞	巡る	ㄖㄠˋ / rào
按	押す	ㄢˋ / àn
苗	苗	ㄇㄧㄠˊ / miáo
寂	寂しい	ㄐㄧˊ / jí
踏	踏む	ㄊㄚˋ / tà
插	挿す	ㄔㄚ / chā
稚	稚い	ㄓˋ / zhì
滴	滴	ㄉㄧ / dī
稿	原稿	ㄍㄠˇ / gǎo
敏	敏	ㄇㄧㄣˇ / mǐn
振	振る	ㄓㄣˋ / zhèn
篇	篇	ㄆㄧㄢ / piān
薄	薄い	ㄅㄠˊ / báo
丁	丁	ㄉㄧㄥ / dīng
抵	抵う	ㄉㄧˇ / dǐ
祝	祝う	ㄓㄨˋ / zhù
董	董	ㄉㄨㄥˇ / dǒng
遲	遅れる	ㄔˊ / chí
檔	ファイル	ㄉㄤˇ / dǎng
彷	彷彿	ㄈㄤˇ / fǎng
渡	渡る	ㄉㄨˋ / dù
轎	駕籠	ㄐㄧㄠˋ / jiào
麥	麦	ㄇㄞˋ / mài
池	池	ㄘˊ / chí
序	序	ㄒㄩˋ / xù
郎	郎	ㄌㄤˊ / láng
嘆	嘆く	ㄊㄢˋ / tàn
驅	駆ける	ㄑㄩ / qū
坦	坦	ㄊㄢˇ / tǎn
泡	泡	ㄆㄠˋ / pào
哲	哲	ㄓㄜˊ / zhé
眠	眠る	ㄇㄧㄢˊ / mián
寄	寄せる	ㄐㄧˋ / jì
粗	粗い	ㄘㄨ / cū
陷	陥る	ㄒㄧㄢˋ / xiàn
甲	甲	ㄐㄧㄚˇ / jiǎ
羊	羊	ㄧㄤˊ / yáng
輯	輯める	ㄐㄧˊ / jí
籍	籍	ㄐㄧˊ / jí
朵	花を数える量詞	ㄉㄨㄛˇ / duǒ
貧	貧しい	ㄆㄧㄣˊ / pín
糊	糊	ㄏㄨˊ / hú
闆	板	ㄅㄢˇ / bǎn
杜	杜	ㄉㄨˋ / dù
津	津	ㄐㄧㄣ / jīn
旋	旋回する	ㄒㄩㄢˊ / xuán
漲	値上がりする	ㄓㄤˇ / zhǎng
曉	暁	ㄒㄧㄠˇ / xiǎo
飄	漂う	ㄆㄧㄠ / piāo
彿	彿	ㄈㄨˊ / fú
吐	吐く	ㄊㄨˇ / tǔ
圾	ゴミ（ごみ）	ㄙㄜˋ / sè
垃	ゴミ（ごみ）	ㄌㄜˋ / lè
徐	徐に	ㄒㄩˊ / xú
悅	悦ぶ	ㄩㄝˋ / yuè
膽	胆	ㄉㄢˇ / dǎn
某	某	ㄇㄡˇ / mǒu
庫	庫	ㄎㄨˋ / kù
梁	梁	ㄌㄧㄤˊ / liáng
閱	閲する	ㄩㄝˋ / yuè
墨	墨	ㄇㄛˋ / mò
魔	魔	ㄇㄛˊ / mó
呈	呈する	ㄔㄥˊ / chéng
峽	峡	ㄒㄧㄚˊ / xiá
巡	巡る	ㄒㄩㄣˊ / xún
覽	覧る	ㄌㄢˇ / lǎn
悄	ひっそり	ㄑㄧㄠˇ / qiǎo
牽	牽く	ㄑㄧㄢ / qiān
焦	焦げる	ㄐㄧㄠ / jiāo
戴	戴く	ㄉㄞˋ / dài
奪	奪う	ㄉㄨㄛˊ / duó
耶	耶	ㄧㄝ / yē
胎	胎	ㄊㄞ / tāi
徒	徒	ㄊㄨˊ / tú
悟	悟る	ㄨˋ / wù
悠	悠久	ㄧㄡ / yōu
斜	斜め	ㄒㄧㄝˊ / xié
傑	傑	ㄐㄧㄝˊ / jié
搬	運ぶ	ㄅㄢ / bān
蒼	蒼い	ㄘㄤ / cāng
豔	艶やか	ㄧㄢˋ / yàn
幽	幽	ㄧㄡ / yōu
喪	喪う	ㄙㄤˋ / sàng
擠	擠す	ㄐㄧˇ / jǐ
辭	辞める	ㄘˊ / cí
刷	刷る	ㄕㄨㄚ / shuā
剪	切る	ㄐㄧㄢˇ / jiǎn
稀	稀	ㄒㄧ / xī
萊	莱	ㄌㄞˊ / lái
債	債	ㄓㄞˋ / zhài
