領	領収する	ㄌㄧㄥˇ / lǐng
福	福	ㄈㄨˊ / fú
密	密な	ㄇㄧˋ / mì
嗎	〜か	ㄇㄚ˙ / ma
緊	緊い	ㄐㄧㄣˇ / jǐn
謝	感謝する	ㄒㄧㄝˋ / xiè
充	満ちる	ㄔㄨㄥ / chōng
皮	皮	ㄆㄧˊ / pí
玩	遊ぶ	ㄨㄢˊ / wán
策	策	ㄘㄜˋ / cè
維	維持する	ㄨㄟˊ / wéi
麗	麗しい	ㄌㄧˋ / lì
旅	旅	ㄌㄩˇ / lǚ
傷	傷	ㄕㄤ / shāng
吸	吸う	ㄒㄧ / xī
禮	礼	ㄌㄧˇ / lǐ
印	印刷する	ㄧㄣˋ / yìn
超	超える	ㄔㄠ / chāo
被	〜される	ㄅㄟˋ / bèi
試	試す	ㄕˋ / shì
談	話す	ㄊㄢˊ / tán
背	背	ㄅㄟˋ / bèi
支	支える	ㄓ / zhī
甚	はなはだ	ㄕㄣˋ / shèn
銷	売る	ㄒㄧㄠ / xiāo
館	館	ㄍㄨㄢˇ / guǎn
息	息	ㄒㄧˊ / xí
千	千	ㄑㄧㄢ / qiān
財	財	ㄘㄞˊ / cái
雙	双	ㄕㄨㄤ / shuāng
靜	静か	ㄐㄧㄥˋ / jìng
曾	かつて	ㄘㄥˊ / céng
漸	次第に	ㄐㄧㄢˋ / jiàn
買	買う	ㄇㄞˇ / mǎi
否	否	ㄈㄡˇ / fǒu
送	送る	ㄙㄨㄥˋ / sòng
升	昇る	ㄕㄥ / shēng
站	駅	ㄓㄢˋ / zhàn
係	係わる	ㄒㄧˋ / xì
微	微か	ㄨㄟˊ / wéi
修	修める	ㄒㄧㄡ / xiū
巴	巴	ㄅㄚ / bā
寶	宝	ㄅㄠˇ / bǎo
致	致す	ㄓˋ / zhì
汽	蒸気	ㄑㄧˋ / qì
急	急ぐ	ㄐㄧˊ / jí
素	普段	ㄙㄨˋ / sù
驚	驚く	ㄐㄧㄥ / jīng
野	野	ㄧㄝˇ / yě
供	供する	ㄍㄨㄥ / gōng
良	良い	ㄌㄧㄤˊ / liáng
適	適する	ㄕˋ / shì
積	積む	ㄐㄧ / jī
牛	牛	ㄋㄧㄡˊ / niú
招	招く	ㄓㄠ / zhāo
八	八	ㄅㄚ / bā
阿	阿	ㄚ / ā
懷	懐	ㄏㄨㄞˊ / huái
洋	洋	ㄧㄤˊ / yáng
課	課	ㄎㄜˋ / kè
答	答える	ㄉㄚˊ / dá
獎	奨	ㄐㄧㄤˇ / jiǎng
屋	屋	ㄨ / wū
唱	歌う	ㄔㄤˋ / chàng
模	模	ㄇㄛˊ / mó
羅	羅	ㄌㄨㄛˊ / luó
藥	薬	ㄧㄠˋ / yào
跑	走る	ㄆㄠˇ / pǎo
綠	緑	ㄌㄩˋ / lǜ
盡	尽くす	ㄐㄧㄣˋ / jìn
怕	恐れる	ㄆㄚˋ / pà
待	待つ	ㄉㄞˋ / dài
夠	足りる	ㄍㄡˋ / gòu
突	突然	ㄊㄨˊ / tú
初	初め	ㄔㄨ / chū
康	健康	ㄎㄤ / kāng
差	劣る	ㄔㄚ / chā
減	減る	ㄐㄧㄢˇ / jiǎn
燈	灯	ㄉㄥ / dēng
票	チケット	ㄆㄧㄠˋ / piào
復	復する	ㄈㄨˋ / fù
臉	顔	ㄌㄧㄢˇ / liǎn
施	施す	ㄕ / shī
較	比較的	ㄐㄧㄠˋ / jiào
益	益	ㄧˋ / yì
獲	獲る	ㄏㄨㄛˋ / huò
講	話す	ㄐㄧㄤˇ / jiǎng
讓	譲る	ㄖㄤˋ / ràng
冷	冷たい	ㄌㄥˇ / lěng
負	負う	ㄈㄨˋ / fù
善	善い	ㄕㄢˋ / shàn
簡	簡単な	ㄐㄧㄢˇ / jiǎn
止	止まる	ㄓˇ / zhǐ
害	害する	ㄏㄞˋ / hài
構	構える	ㄍㄡˋ / gòu
錯	間違い	ㄘㄨㄛˋ / cuò
酒	酒	ㄐㄧㄡˇ / jiǔ
另	別の	ㄌㄧㄥˋ / lìng
慢	遅い	ㄇㄢˋ / màn
輪	輪	ㄌㄨㄣˊ / lún
拿	持つ	ㄋㄚˊ / ná
操	操る	ㄘㄠ / cāo
岸	岸	ㄢˋ / àn
稱	称する	ㄔㄥ / chēng
層	層	ㄘㄥˊ / céng
靈	霊	ㄌㄧㄥˊ / líng
筆	筆	ㄅㄧˇ / bǐ
隊	隊	ㄉㄨㄟˋ / duì
雲	雲	ㄩㄣˊ / yún
富	富む	ㄈㄨˋ / fù
據	拠る	ㄐㄩˋ / jù
倒	倒れる	ㄉㄠˇ / dǎo
智	智	ㄓˋ / zhì
飯	ご飯	ㄈㄢˋ / fàn
樓	建物	ㄌㄡˊ / lóu
竟	意外にも	ㄐㄧㄥˋ / jìng
依	依る	ㄧ / yī
雜	雑多な	ㄗㄚˊ / zá
仍	依然として	ㄖㄥˊ / réng
委	委ねる	ㄨㄟˇ / wěi
散	散る	ㄙㄢˋ / sàn
紙	紙	ㄓˇ / zhǐ
庭	庭	ㄊㄧㄥˊ / tíng
坡	坂	ㄆㄛ / pō
毒	毒	ㄉㄨˊ / dú
顧	顧みる	ㄍㄨˋ / gù
停	停まる	ㄊㄧㄥˊ / tíng
評	評する	ㄆㄧㄥˊ / píng
聞	聞く	ㄨㄣˊ / wén
賣	売る	ㄇㄞˋ / mài
檢	検査する	ㄐㄧㄢˇ / jiǎn
毛	毛	ㄇㄠˊ / máo
款	金銭	ㄎㄨㄢˇ / kuǎn
責	責任	ㄗㄜˊ / zé
店	店	ㄉㄧㄢˋ / diàn
擔	担う	ㄉㄢ / dān
幫	手伝う	ㄅㄤ / bāng
船	船	ㄔㄨㄢˊ / chuán
歐	欧州	ㄡ / ōu
牙	歯	ㄧㄚˊ / yá
限	限る	ㄒㄧㄢˋ / xiàn
臨	臨む	ㄌㄧㄣˊ / lín
婦	婦人	ㄈㄨˋ / fù
擎	支える	ㄑㄧㄥˊ / qíng
迷	迷う	ㄇㄧˊ / mí
板	板	ㄅㄢˇ / bǎn
換	換える	ㄏㄨㄢˋ / huàn
沙	砂	ㄕㄚ / shā
歲	歳	ㄙㄨㄟˋ / suì
典	辞典	ㄉㄧㄢˇ / diǎn
群	群れ	ㄑㄩㄣˊ / qún
午	昼	ㄨˇ / wǔ
彩	彩る	ㄘㄞˇ / cǎi
採	採る	ㄘㄞˇ / cǎi
段	段	ㄉㄨㄢˋ / duàn
免	免れる	ㄇㄧㄢˇ / miǎn
競	競う	ㄐㄧㄥˋ / jìng
吧	〜でしょう	ㄅㄚ˙ / ba
六	六	ㄌㄧㄡˋ / liù
田	田	ㄊㄧㄢˊ / tián
錄	記録する	ㄌㄨˋ / lù
察	察する	ㄔㄚˊ / chá
衛	衛	ㄨㄟˋ / wèi
永	永遠の	ㄩㄥˇ / yǒng
周	周り	ㄓㄡ / zhōu
隻	隻	ㄓ / zhī
舊	古い	ㄐㄧㄡˋ / jiù
句	句	ㄐㄩˋ / jù
乾	乾く	ㄍㄢ / gān
追	追う	ㄓㄨㄟ / zhuī
戶	戸	ㄏㄨˋ / hù
夏	夏	ㄒㄧㄚˋ / xià
執	執る	ㄓˊ / zhí
波	波	ㄅㄛ / bō
穿	着る	ㄔㄨㄢ / chuān
堂	堂	ㄊㄤˊ / táng
礙	妨げる	ㄞˋ / ài
忙	忙しい	ㄇㄤˊ / máng
幼	幼い	ㄧㄡˋ / yòu
織	織る	ㄓ / zhī
威	威	ㄨㄟ / wēi
缺	欠ける	ㄑㄩㄝ / quē
革	革	ㄍㄜˊ / gé
恐	恐れる	ㄎㄨㄥˇ / kǒng
盤	盤	ㄆㄢˊ / pán
卡	カード	ㄎㄚˇ / kǎ
沉	沈む	ㄔㄣˊ / chén
忽	忽然と	ㄏㄨ / hū
妹	妹	ㄇㄟˋ / mèi
劃	劃す	ㄏㄨㄚˋ / huà
討	討論する	ㄊㄠˇ / tǎo
繼	継ぐ	ㄐㄧˋ / jì
休	休む	ㄒㄧㄡ / xiū
染	染める	ㄖㄢˇ / rǎn
逐	逐う	ㄓㄨˊ / zhú
鐵	鉄	ㄊㄧㄝˇ / tiě
怪	怪しい	ㄍㄨㄞˋ / guài
貨	貨物	ㄏㄨㄛˋ / huò
悲	悲しい	ㄅㄟ / bēi
號	号	ㄏㄠˋ / hào
牠	それ	ㄊㄚ / tā
婚	婚	ㄏㄨㄣ / hūn
寒	寒い	ㄏㄢˊ / hán
志	志	ㄓˋ / zhì
江	江	ㄐㄧㄤ / jiāng
激	激しい	ㄐㄧ / jī
擊	撃つ	ㄐㄧˊ / jí
竹	竹	ㄓㄨˊ / zhú
勞	労する	ㄌㄠˊ / láo
遺	遺す	ㄧˊ / yí
夢	夢	ㄇㄥˋ / mèng
圍	囲む	ㄨㄟˊ / wéi
窗	窓	ㄔㄨㄤ / chuāng
降	降る	ㄐㄧㄤˋ / jiàng
街	街	ㄐㄧㄝ / jiē
幕	幕	ㄇㄨˋ / mù
呼	呼ぶ	ㄏㄨ / hū
熟	熟れる	ㄕㄡˊ / shóu
鏡	鏡	ㄐㄧㄥˋ / jìng
睡	眠る	ㄕㄨㄟˋ / shuì
忘	忘れる	ㄨㄤˋ / wàng
村	村	ㄘㄨㄣ / cūn
九	九	ㄐㄧㄡˇ / jiǔ
派	派	ㄆㄞˋ / pài
殺	殺す	ㄕㄚ / shā
尋	尋ねる	ㄒㄩㄣˊ / xún
菜	おかず	ㄘㄞˋ / cài
拍	撮る	ㄆㄞ / pāi
附	付く	ㄈㄨˋ / fù
鳥	鳥	ㄋㄧㄠˇ / niǎo
稅	税	ㄕㄨㄟˋ / shuì
置	置く	ㄓˋ / zhì
島	島	ㄉㄠˇ / dǎo
烈	烈しい	ㄌㄧㄝˋ / liè
退	退く	ㄊㄨㄟˋ / tuì
移	移る	ㄧˊ / yí
療	療する	ㄌㄧㄠˊ / liáo
徵	徴する	ㄓㄥ / zhēng
跳	跳ぶ	ㄊㄧㄠˋ / tiào
宋	宋	ㄙㄨㄥˋ / sòng
勝	勝つ	ㄕㄥˋ / shèng
曲	曲	ㄑㄩˇ / qǔ
探	探る	ㄊㄢˋ / tàn
訪	訪ねる	ㄈㄤˇ / fǎng
植	植える	ㄓˊ / zhí
伯	伯	ㄅㄛˊ / bó
朝	向かう	ㄔㄠˊ / cháo
協	協する	ㄒㄧㄝˊ / xié
訊	訊ねる	ㄒㄩㄣˋ / xùn
畢	終わる	ㄅㄧˋ / bì
浪	波	ㄌㄤˋ / làng
普	普く	ㄆㄨˇ / pǔ
餐	食事	ㄘㄢ / cān
剛	ちょうど	ㄍㄤ / gāng
洗	洗う	ㄒㄧˇ / xǐ
短	短い	ㄉㄨㄢˇ / duǎn
補	補う	ㄅㄨˇ / bǔ
啊	ああ	ㄚ˙ / a
控	制御する	ㄎㄨㄥˋ / kòng
迎	迎える	ㄧㄥˊ / yíng
耳	耳	ㄦˇ / ěr
左	左	ㄗㄨㄛˇ / zuǒ
牌	札	ㄆㄞˊ / pái
警	警備する	ㄐㄧㄥˇ / jǐng
尼	尼	ㄋㄧˊ / ní
略	略す	ㄌㄩㄝˋ / lüè
塊	塊	ㄎㄨㄞˋ / kuài
掉	落ちる	ㄉㄧㄠˋ / diào
圓	丸い	ㄩㄢˊ / yuán
材	材	ㄘㄞˊ / cái
掌	掌	ㄓㄤˇ / zhǎng
右	右	ㄧㄡˋ / yòu
帝	帝	ㄉㄧˋ / dì
搖	揺れる	ㄧㄠˊ / yáo
京	京	ㄐㄧㄥ / jīng
陳	陳	ㄔㄣˊ / chén
測	測る	ㄘㄜˋ / cè
肉	肉	ㄖㄡˋ / ròu
售	売る	ㄕㄡˋ / shòu
雪	雪	ㄒㄩㄝˇ / xuě
秋	秋	ㄑㄧㄡ / qiū
救	救う	ㄐㄧㄡˋ / jiù
賞	賞する	ㄕㄤˇ / shǎng
亂	乱れる	ㄌㄨㄢˋ / luàn
潮	潮	ㄔㄠˊ / cháo
皇	皇	ㄏㄨㄤˊ / huáng
湖	湖	ㄏㄨˊ / hú
守	守る	ㄕㄡˇ / shǒu
射	射る	ㄕㄜˋ / shè
雞	鶏	ㄐㄧ / jī
貴	貴い	ㄍㄨㄟˋ / guì
煙	煙	ㄧㄢ / yān
露	露	ㄌㄨˋ / lù
避	避ける	ㄅㄧˋ / bì
藏	隠す	ㄘㄤˊ / cáng
宜	宜しい	ㄧˊ / yí
額	額	ㄜˊ / é
七	七	ㄑㄧ / qī
抗	抗う	ㄎㄤˋ / kàng
享	享受する	ㄒㄧㄤˇ / xiǎng
鼓	鼓	ㄍㄨˇ / gǔ
屬	属する	ㄕㄨˇ / shǔ
購	購う	ㄍㄡˋ / gòu
頂	頂	ㄉㄧㄥˇ / dǐng
疑	疑う	ㄧˊ / yí
宮	宮	ㄍㄨㄥ / gōng
睛	瞳	ㄐㄧㄥ / jīng
冰	氷	ㄅㄧㄥ / bīng
透	透く	ㄊㄡˋ / tòu
障	障壁	ㄓㄤˋ / zhàng
困	困る	ㄎㄨㄣˋ / kùn
慶	慶ぶ	ㄑㄧㄥˋ / qìng
宣	宣する	ㄒㄩㄢ / xuān
旁	傍ら	ㄆㄤˊ / páng
洞	洞	ㄉㄨㄥˋ / dòng
巨	巨大な	ㄐㄩˋ / jù
趕	急ぐ	ㄍㄢˇ / gǎn
姐	姉	ㄐㄧㄝˇ / jiě
若	若し	ㄖㄨㄛˋ / ruò
律	律	ㄌㄩˋ / lǜ
症	症	ㄓㄥˋ / zhèng
陰	陰	ㄧㄣ / yīn
順	順調な	ㄕㄨㄣˋ / shùn
階	階	ㄐㄧㄝ / jiē
擇	択ぶ	ㄗㄜˊ / zé
承	承る	ㄔㄥˊ / chéng
幸	幸せな	ㄒㄧㄥˋ / xìng
歸	帰る	ㄍㄨㄟ / guī
豐	豊かな	ㄈㄥ / fēng
鐘	鐘	ㄓㄨㄥ / zhōng
遇	遭う	ㄩˋ / yù
端	端	ㄉㄨㄢ / duān
擁	擁する	ㄩㄥˇ / yǒng
默	黙る	ㄇㄛˋ / mò
橋	橋	ㄑㄧㄠˊ / qiáo
盛	盛ん	ㄕㄥˋ / shèng
編	編む	ㄅㄧㄢ / biān
廳	広間	ㄊㄧㄥ / tīng
託	託す	ㄊㄨㄛ / tuō
州	州	ㄓㄡ / zhōu
訓	訓じる	ㄒㄩㄣˋ / xùn
敗	敗れる	ㄅㄞˋ / bài
翻	翻す	ㄈㄢ / fān
危	危ない	ㄨㄟˊ / wéi
婆	お婆さん	ㄆㄛˊ / pó
抱	抱く	ㄅㄠˋ / bào
骨	骨	ㄍㄨˇ / gǔ
僅	僅かに	ㄐㄧㄣˇ / jǐn
範	範	ㄈㄢˋ / fàn
壞	壊れる	ㄏㄨㄞˋ / huài
茶	茶	ㄔㄚˊ / chá
麻	痺れる	ㄇㄚˊ / má
紛	紛れる	ㄈㄣ / fēn
棒	素晴らしい	ㄅㄤˋ / bàng
奶	乳	ㄋㄞˇ / nǎi
誰	誰	ㄕㄟˊ / shéi
私	私	ㄙ / sī
鬆	緩い	ㄙㄨㄥ / sōng
娘	娘	ㄋㄧㄤˊ / niáng
堅	堅い	ㄐㄧㄢ / jiān
博	博い	ㄅㄛˊ / bó
淡	淡い	ㄉㄢˋ / dàn
嘴	口	ㄗㄨㄟˇ / zuǐ
季	季	ㄐㄧˋ / jì
納	納める	ㄋㄚˋ / nà
尤	尤も	ㄧㄡˊ / yóu
肯	肯定する	ㄎㄣˇ / kěn
隆	隆	ㄌㄨㄥˊ / lóng
介	介する	ㄐㄧㄝˋ / jiè
玉	玉	ㄩˋ / yù
倫	倫	ㄌㄨㄣˊ / lún
惡	悪	ㄜˋ / è
游	泳ぐ	ㄧㄡˊ / yóu
彈	弾く	ㄊㄢˊ / tán
練	練習する	ㄌㄧㄢˋ / liàn
蟲	虫	ㄔㄨㄥˊ / chóng
陣	陣	ㄓㄣˋ / zhèn
揮	揮う	ㄏㄨㄟ / huī
